X,Y,Z,ElapsedTime,LoopTime
0.67,-1.88,-10.83,492.09,0.013
-0.16,0.31,-10.40,492.10,0.012
0.04,2.43,-11.22,492.12,0.014
-0.31,-0.27,-10.94,492.13,0.012
0.63,-0.82,-10.16,492.14,0.013
1.41,-2.28,-10.00,492.15,0.012
-0.24,0.04,-10.75,492.17,0.014
0.00,0.04,-10.75,492.18,0.013
-0.31,0.71,-10.28,492.19,0.012
0.12,0.75,-10.12,492.21,0.014
0.75,-0.27,-9.41,492.22,0.012
-0.35,0.35,-8.94,492.23,0.013
0.55,-0.31,-8.24,492.24,0.013
-0.24,0.71,-9.89,492.26,0.012
0.31,-0.55,-9.45,492.27,0.012
0.27,0.16,-9.49,492.28,0.012
-0.24,0.43,-9.45,492.29,0.014
0.24,0.27,-9.06,492.31,0.012
0.12,0.55,-9.18,492.32,0.013
-0.78,-0.43,-10.16,492.33,0.013
0.08,0.08,-9.22,492.35,0.013
0.27,0.08,-9.61,492.36,0.012
0.12,0.31,-9.53,492.37,0.014
-0.43,-0.12,-9.49,492.38,0.012
0.20,-0.16,-9.49,492.40,0.012
0.04,0.00,-9.65,492.41,0.012
0.16,-0.12,-9.18,492.42,0.013
-0.20,0.24,-9.81,492.43,0.013
0.16,-0.08,-9.30,492.45,0.012
0.00,0.16,-9.14,492.46,0.014
0.00,0.00,-10.12,492.47,0.012
0.00,0.20,-10.08,492.48,0.013
0.20,-0.04,-9.92,492.50,0.013
0.12,-0.08,-9.34,492.51,0.012
0.04,0.08,-9.73,492.52,0.013
0.16,0.04,-9.65,492.53,0.012
0.04,0.08,-9.65,492.55,0.014
-0.04,0.04,-10.12,492.56,0.012
0.12,0.39,-10.00,492.57,0.013
0.08,-0.27,-9.65,492.59,0.013
0.04,0.16,-9.96,492.60,0.013
-0.16,0.20,-10.08,492.61,0.012
0.67,0.24,-10.43,492.63,0.014
0.00,0.00,-10.04,492.64,0.012
0.27,0.04,-10.08,492.65,0.013
-0.12,0.47,-9.96,492.66,0.012
-0.31,0.08,-10.51,492.68,0.013
-0.04,0.27,-9.92,492.69,0.013
0.20,0.04,-10.08,492.70,0.013
0.27,0.35,-10.16,492.71,0.013
0.08,-0.04,-9.96,492.73,0.013
0.24,0.08,-9.92,492.74,0.012
-0.16,0.27,-10.12,492.75,0.013
0.04,0.00,-9.92,492.77,0.013
0.00,0.04,-9.89,492.78,0.012
-0.31,-0.04,-9.85,492.79,0.013
-0.12,0.31,-10.16,492.80,0.013
-0.04,0.12,-9.96,492.82,0.013
-0.08,-0.24,-9.73,492.83,0.012
0.12,0.24,-10.04,492.84,0.014
0.12,0.16,-9.85,492.85,0.012
0.16,0.43,-10.36,492.87,0.013
-0.20,0.20,-9.92,492.88,0.013
0.08,0.08,-9.85,492.89,0.013
0.27,0.12,-10.16,492.91,0.012
0.08,0.16,-10.12,492.92,0.012
-0.04,-0.08,-9.89,492.93,0.014
0.04,0.08,-10.08,492.94,0.012
-0.16,-0.08,-9.49,492.96,0.013
-0.12,0.08,-10.51,492.97,0.013
0.12,0.04,-9.89,492.98,0.013
-0.43,0.12,-9.92,492.99,0.012
-0.08,-0.08,-9.65,493.01,0.014
0.12,0.04,-9.49,493.02,0.012
0.08,0.27,-9.34,493.03,0.013
-0.35,-0.04,-9.22,493.05,0.012
0.16,0.16,-9.53,493.06,0.014
0.20,0.00,-9.22,493.07,0.012
0.04,-0.08,-8.87,493.08,0.012
0.04,0.04,-9.65,493.10,0.014
0.24,0.00,-9.49,493.11,0.012
0.12,-0.27,-9.81,493.12,0.013
0.08,-0.35,-9.26,493.13,0.012
0.59,0.12,-9.02,493.15,0.014
-0.04,0.08,-9.61,493.16,0.012
-0.31,0.00,-10.24,493.17,0.012
-0.24,0.20,-9.49,493.19,0.014
0.35,0.20,-8.98,493.20,0.012
-0.86,0.04,-9.92,493.21,0.013
-0.16,0.00,-9.34,493.22,0.013
0.00,0.08,-8.83,493.24,0.013
0.00,-0.04,-9.26,493.25,0.012
0.27,0.31,-9.69,493.26,0.012
0.31,0.20,-9.92,493.28,0.014
0.31,0.00,-9.73,493.29,0.012
0.04,0.00,-11.18,493.30,0.013
0.16,0.20,-10.43,493.31,0.013
-0.08,0.12,-11.06,493.33,0.013
0.59,-0.82,-11.81,493.34,0.012
1.84,0.12,-7.77,493.35,0.014
-0.78,0.16,-9.65,493.36,0.012
-1.29,1.57,-10.20,493.38,0.013
1.49,0.20,-9.77,493.39,0.012
0.08,0.43,-11.41,493.40,0.014
-1.06,1.18,-10.90,493.42,0.012
-0.31,0.71,-10.67,493.43,0.013
0.39,-0.98,-10.75,493.44,0.013
-0.47,-0.67,-11.02,493.45,0.013
0.04,1.02,-10.08,493.47,0.012
-0.04,0.27,-10.36,493.48,0.014
0.08,-0.08,-11.06,493.49,0.012
-0.59,-1.37,-10.51,493.51,0.013
0.20,0.16,-9.77,493.52,0.012
0.12,-0.08,-10.12,493.53,0.014
0.20,0.35,-10.20,493.54,0.012
0.39,-0.35,-9.69,493.56,0.013
-0.04,0.12,-9.92,493.57,0.013
0.04,-0.04,-9.89,493.58,0.013
-0.04,-0.08,-9.49,493.59,0.012
0.04,0.27,-9.92,493.61,0.014
-0.20,0.00,-9.89,493.62,0.012
0.20,-0.08,-10.28,493.63,0.013
0.12,0.08,-10.12,493.65,0.012
0.12,0.00,-9.92,493.66,0.014
-0.31,0.20,-9.73,493.67,0.012
0.12,-0.31,-10.67,493.68,0.012
0.12,0.55,-10.00,493.70,0.014
0.04,0.20,-10.04,493.71,0.013
0.12,0.08,-9.81,493.72,0.012
0.04,0.24,-10.00,493.74,0.013
-0.20,0.43,-10.32,493.75,0.013
-0.12,0.24,-10.67,493.76,0.012
0.16,-0.08,-9.96,493.77,0.013
0.24,0.39,-10.08,493.79,0.013
-0.08,0.20,-9.41,493.80,0.013
-0.08,0.04,-9.92,493.81,0.012
0.12,-0.20,-9.77,493.83,0.014
0.35,0.55,-10.04,493.84,0.012
0.08,0.24,-9.85,493.85,0.013
0.27,0.00,-10.00,493.86,0.013
0.08,0.00,-10.12,493.88,0.013
0.12,0.43,-10.24,493.89,0.012
-0.04,-0.04,-9.77,493.90,0.013
-0.12,-0.16,-9.85,493.91,0.013
0.16,0.16,-9.92,493.93,0.013
-0.04,0.04,-10.00,493.94,0.012
-0.16,-0.04,-9.85,493.95,0.013
-0.08,-0.27,-9.53,493.97,0.013
0.08,0.16,-10.36,493.98,0.012
0.12,0.08,-9.81,493.99,0.014
0.16,0.04,-10.00,494.00,0.012
0.08,-0.16,-9.65,494.02,0.013
0.00,0.16,-9.89,494.03,0.012
-0.16,0.04,-9.89,494.04,0.014
0.39,0.00,-9.96,494.05,0.012
0.08,0.16,-10.08,494.07,0.013
0.16,0.04,-9.85,494.08,0.013
-0.08,-0.24,-10.51,494.09,0.012
-0.12,0.04,-10.20,494.11,0.013
0.31,0.12,-9.92,494.12,0.013
0.12,0.16,-10.16,494.13,0.013
-0.16,0.04,-11.41,494.14,0.012
0.24,0.08,-10.16,494.16,0.013
-0.08,-0.08,-10.32,494.17,0.014
-0.16,0.35,-10.67,494.18,0.012
-0.04,0.00,-10.71,494.20,0.013
-0.04,0.08,-10.87,494.21,0.013
-0.39,0.47,-10.79,494.22,0.013
0.04,0.04,-10.28,494.23,0.012
0.08,0.04,-10.63,494.25,0.014
0.47,0.75,-10.94,494.26,0.012
-0.47,0.39,-9.96,494.27,0.013
0.67,1.33,-10.20,494.28,0.012
0.71,-0.82,-10.40,494.30,0.014
-0.04,-0.27,-10.04,494.31,0.012
0.51,-1.88,-10.71,494.32,0.013
-0.12,0.98,-10.24,494.34,0.013
-0.31,1.53,-10.16,494.35,0.013
0.00,0.75,-9.73,494.36,0.013
0.71,-0.08,-9.41,494.38,0.013
0.59,-1.10,-10.32,494.39,0.012
0.47,0.16,-8.67,494.40,0.013
0.51,-0.20,-9.02,494.41,0.012
-0.71,0.16,-8.67,494.43,0.014
-0.24,-0.82,-9.26,494.44,0.012
-0.16,0.04,-9.26,494.45,0.013
-0.08,0.12,-9.06,494.46,0.013
0.47,0.16,-9.06,494.48,0.013
-0.08,0.20,-9.61,494.49,0.012
0.63,-0.12,-9.41,494.50,0.014
-0.27,0.20,-9.38,494.52,0.012
0.31,-0.12,-9.57,494.53,0.013
0.67,0.51,-8.90,494.54,0.012
-0.78,-0.04,-9.38,494.55,0.013
0.24,0.16,-9.81,494.57,0.013
0.24,-0.04,-9.38,494.58,0.012
0.24,0.12,-9.49,494.59,0.014
-0.16,0.47,-9.81,494.60,0.012
0.27,-0.08,-9.34,494.62,0.013
-0.16,0.00,-9.30,494.63,0.013
0.08,0.12,-10.04,494.64,0.012
0.12,0.16,-9.96,494.65,0.012
0.12,0.16,-10.00,494.67,0.013
0.04,-0.27,-9.45,494.68,0.013
0.00,0.12,-9.89,494.69,0.012
0.04,-0.04,-9.81,494.71,0.013
0.04,-0.04,-9.81,494.72,0.013
-0.08,0.04,-9.96,494.73,0.013
0.27,0.31,-9.92,494.74,0.012
0.35,-0.04,-9.92,494.76,0.014
0.31,0.47,-10.32,494.77,0.012
0.27,0.04,-9.96,494.78,0.013
-0.08,0.04,-9.92,494.79,0.012
0.27,-0.08,-9.61,494.81,0.013
0.16,0.20,-9.85,494.82,0.013
0.08,0.04,-9.85,494.83,0.012
0.04,-0.51,-10.00,494.85,0.014
-0.12,0.04,-9.89,494.86,0.012
0.08,0.04,-9.92,494.87,0.013
-0.04,0.12,-10.32,494.88,0.012
-0.16,0.00,-9.85,494.90,0.014
0.04,0.20,-9.92,494.91,0.012
0.24,0.39,-10.40,494.92,0.012
0.08,0.00,-10.00,494.94,0.014
0.00,0.16,-9.96,494.95,0.012
-0.12,-0.16,-9.85,494.96,0.013
0.00,-0.35,-9.85,494.97,0.013
0.16,0.20,-9.92,494.99,0.013
-0.04,0.08,-9.85,495.00,0.012
0.16,-0.12,-9.81,495.01,0.013
0.16,0.12,-10.08,495.02,0.013
0.04,0.08,-9.96,495.04,0.013
-0.20,-0.20,-9.65,495.05,0.012
-0.16,0.04,-9.73,495.06,0.013
0.00,0.08,-9.85,495.08,0.013
0.16,0.12,-9.96,495.09,0.012
-0.12,0.35,-10.51,495.10,0.014
-0.08,0.16,-10.08,495.11,0.012
0.16,0.00,-9.77,495.13,0.013
0.04,0.16,-9.73,495.14,0.012
0.16,0.27,-10.20,495.15,0.014
0.04,0.00,-9.85,495.16,0.012
0.04,0.35,-9.92,495.18,0.013
0.12,0.16,-9.85,495.19,0.013
0.08,0.04,-9.14,495.20,0.012
0.16,0.04,-9.34,495.22,0.013
-0.47,0.08,-9.77,495.23,0.013
0.16,0.12,-9.53,495.24,0.013
0.08,-0.08,-9.10,495.25,0.012
0.47,0.39,-9.92,495.27,0.012
-0.27,0.04,-9.49,495.28,0.013
0.16,-0.04,-9.53,495.29,0.012
-0.16,-0.12,-9.38,495.30,0.013
0.55,-0.12,-8.94,495.32,0.013
-0.04,-0.04,-9.85,495.33,0.013
-0.47,-0.08,-10.24,495.34,0.012
0.43,0.04,-8.75,495.36,0.014
0.08,-0.04,-9.34,495.37,0.012
0.08,0.27,-9.57,495.38,0.013
0.20,0.24,-9.18,495.39,0.012
-0.51,0.12,-9.14,495.41,0.013
0.63,0.24,-9.26,495.42,0.013
-0.43,0.00,-10.16,495.43,0.012
0.20,0.12,-9.69,495.44,0.014
-0.24,-0.20,-10.63,495.46,0.012
0.35,0.16,-10.43,495.47,0.013
0.08,0.47,-10.55,495.48,0.013
-0.04,0.39,-10.59,495.50,0.013
0.59,-1.80,-12.63,495.51,0.012
0.27,1.61,-8.90,495.52,0.013
-0.08,1.69,-10.28,495.53,0.013
0.39,0.98,-10.28,495.55,0.013
0.71,-2.55,-10.79,495.56,0.012
0.75,-0.27,-11.57,495.57,0.013
-0.31,0.24,-10.59,495.58,0.013
0.86,-0.12,-9.85,495.60,0.012
0.71,-0.67,-10.47,495.61,0.014
0.20,1.10,-10.32,495.62,0.012
0.47,0.39,-10.12,495.64,0.013
-0.12,0.04,-10.79,495.65,0.012
0.12,-0.47,-11.06,495.66,0.014
0.08,0.35,-9.77,495.67,0.012
0.27,0.43,-9.73,495.69,0.013
-0.27,0.04,-9.96,495.70,0.013
0.39,-0.31,-10.28,495.71,0.013
-0.67,0.47,-9.65,495.72,0.012
-0.24,0.63,-9.26,495.74,0.014
0.00,0.12,-9.89,495.75,0.012
0.04,-0.04,-9.96,495.76,0.013
0.04,0.43,-9.96,495.78,0.012
0.12,-0.12,-9.77,495.79,0.014
0.27,-0.12,-9.96,495.80,0.012
0.24,0.24,-9.77,495.81,0.012
0.04,0.08,-9.89,495.83,0.013
0.08,0.04,-9.92,495.84,0.012
-0.24,-0.31,-9.45,495.85,0.013
0.27,0.51,-10.00,495.86,0.013
0.00,0.27,-10.00,495.88,0.013
0.12,0.04,-9.92,495.89,0.012
0.08,0.27,-10.00,495.90,0.013
0.12,0.16,-9.92,495.92,0.013
0.16,0.08,-10.04,495.93,0.013
0.00,-0.31,-9.77,495.94,0.012
0.00,0.20,-10.08,495.95,0.013
-0.16,0.08,-9.96,495.97,0.013
0.04,0.16,-10.24,495.98,0.012
0.16,0.35,-9.92,495.99,0.014
0.04,0.12,-9.85,496.00,0.012
-0.04,-0.59,-9.45,496.02,0.013
0.12,0.16,-9.85,496.03,0.012
-0.08,0.20,-10.00,496.04,0.014
0.12,0.04,-9.65,496.06,0.012
0.12,0.39,-9.89,496.07,0.013
0.04,0.08,-9.89,496.08,0.013
-0.08,0.08,-9.69,496.09,0.012
-0.16,-0.24,-10.00,496.11,0.013
-0.12,-0.16,-9.92,496.12,0.013
0.16,-0.08,-9.77,496.13,0.013
0.08,0.47,-9.96,496.14,0.012
0.12,0.04,-9.65,496.16,0.013
0.08,-0.12,-9.89,496.17,0.013
0.04,0.00,-9.77,496.18,0.013
-0.08,0.39,-10.04,496.20,0.012
0.04,0.16,-10.04,496.21,0.014
0.04,-0.24,-9.81,496.22,0.012
-0.27,0.08,-9.49,496.23,0.013
0.20,0.16,-10.08,496.25,0.013
0.16,-0.04,-9.85,496.26,0.012
0.16,0.20,-10.04,496.27,0.013
0.27,0.31,-10.43,496.28,0.012
-0.04,0.08,-11.30,496.30,0.014
0.04,0.08,-11.53,496.31,0.012
0.31,0.31,-10.55,496.32,0.013
-0.04,0.24,-10.63,496.34,0.013
0.82,0.43,-10.67,496.35,0.012
0.35,-0.08,-10.83,496.36,0.013
-0.35,-0.12,-10.63,496.37,0.013
0.04,-0.08,-10.36,496.39,0.013
0.75,-0.16,-10.55,496.40,0.012
-0.43,0.08,-10.87,496.41,0.013
-0.08,0.16,-10.32,496.43,0.013
0.24,2.24,-10.08,496.44,0.013
-0.16,-1.29,-10.32,496.45,0.012
0.20,0.16,-9.89,496.46,0.014
-0.04,-1.80,-9.89,496.48,0.013
-0.08,-1.45,-10.47,496.49,0.012
0.08,0.94,-10.40,496.50,0.014
-0.04,-0.08,-10.16,496.52,0.012
-0.78,0.98,-9.53,496.53,0.013
0.51,-1.18,-9.53,496.54,0.012
-0.31,0.16,-9.02,496.55,0.014
-0.20,-0.08,-8.63,496.57,0.012
-0.24,1.29,-9.06,496.58,0.012
0.16,-0.20,-9.10,496.59,0.014
-0.24,-0.51,-9.34,496.60,0.012
-0.20,0.00,-9.22,496.62,0.013
-0.39,0.00,-9.61,496.63,0.013
0.00,0.47,-8.94,496.64,0.013
0.82,0.20,-9.06,496.66,0.012
-0.20,0.12,-9.45,496.67,0.012
0.47,-0.47,-9.69,496.68,0.014
-0.27,-0.39,-10.28,496.69,0.012
0.43,0.08,-8.94,496.71,0.013
0.00,0.12,-9.45,496.72,0.013
-0.59,0.12,-9.69,496.73,0.013
0.35,-0.04,-9.06,496.74,0.012
-0.16,0.31,-9.53,496.76,0.014
-0.43,0.16,-10.00,496.77,0.012
0.24,0.24,-9.57,496.78,0.013
0.04,-0.04,-10.08,496.80,0.012
-0.20,0.20,-9.89,496.81,0.013
0.27,0.08,-9.89,496.82,0.013
0.08,0.12,-10.00,496.83,0.012
0.12,0.00,-9.69,496.85,0.014
0.12,-0.59,-9.69,496.86,0.012
0.04,0.27,-10.28,496.87,0.013
0.08,-0.12,-10.00,496.88,0.012
0.55,0.16,-10.20,496.90,0.014
0.08,0.16,-9.92,496.91,0.012
0.04,0.20,-10.04,496.92,0.013
-0.04,-0.27,-9.34,496.94,0.013
-0.08,-0.04,-10.08,496.95,0.013
0.04,0.04,-9.92,496.96,0.012
0.12,-0.24,-9.69,496.97,0.013
0.12,0.00,-9.85,496.99,0.012
0.08,-0.04,-10.04,497.00,0.012
0.08,0.04,-9.89,497.01,0.013
0.00,0.04,-9.73,497.02,0.013
-0.08,0.12,-10.20,497.04,0.013
0.16,0.20,-9.96,497.05,0.012
0.04,-0.12,-9.41,497.06,0.014
0.04,0.16,-10.04,497.08,0.012
0.16,-0.04,-9.77,497.09,0.013
-0.08,0.08,-9.61,497.10,0.013
-0.04,0.08,-9.65,497.11,0.013
0.08,0.04,-9.89,497.13,0.012
0.08,0.00,-10.04,497.14,0.012
-0.16,0.20,-10.20,497.15,0.014
0.12,0.08,-9.69,497.16,0.012
0.12,0.16,-9.89,497.18,0.013
0.12,-0.24,-9.41,497.19,0.013
0.08,0.04,-10.08,497.20,0.013
0.08,0.27,-9.92,497.22,0.012
0.00,-0.20,-9.89,497.23,0.014
0.20,0.00,-9.92,497.24,0.012
0.12,0.00,-9.92,497.25,0.012
-0.12,0.08,-9.73,497.27,0.013
0.20,0.00,-9.61,497.28,0.013
0.08,-0.27,-9.77,497.29,0.013
0.12,0.16,-9.96,497.30,0.012
0.16,-0.39,-9.92,497.32,0.014
0.27,0.08,-9.81,497.33,0.012
0.00,-0.12,-9.38,497.34,0.012
0.20,0.04,-9.53,497.36,0.014
-0.04,-0.04,-9.18,497.37,0.012
0.00,0.04,-9.57,497.38,0.013
0.20,0.08,-9.41,497.39,0.012
-0.04,-0.12,-9.69,497.41,0.014
0.12,0.12,-9.30,497.42,0.012
-0.39,0.12,-9.69,497.43,0.012
0.55,-0.31,-9.34,497.45,0.014
0.43,0.08,-9.38,497.46,0.012
-0.63,0.08,-9.61,497.47,0.013
0.43,0.35,-9.77,497.48,0.013
0.78,0.31,-9.22,497.50,0.013
0.12,0.04,-9.57,497.51,0.012
0.24,0.08,-8.63,497.52,0.012
0.59,0.12,-8.98,497.53,0.014
0.16,0.04,-9.30,497.55,0.012
-0.39,-0.12,-9.26,497.56,0.013
-0.27,-0.43,-9.14,497.57,0.013
0.35,0.12,-9.26,497.59,0.013
0.16,0.04,-9.96,497.60,0.012
0.59,0.24,-10.24,497.61,0.014
-0.12,-0.35,-10.36,497.62,0.012
0.47,0.35,-10.24,497.64,0.013
-0.20,-0.12,-10.32,497.65,0.012
0.47,0.08,-10.59,497.66,0.014
1.10,0.67,-9.10,497.67,0.012
0.39,1.02,-8.51,497.69,0.013
0.20,1.29,-9.45,497.70,0.013
-0.63,-1.57,-11.30,497.71,0.013
0.71,-1.18,-10.87,497.73,0.012
0.59,0.98,-10.32,497.74,0.014
-0.67,0.27,-10.67,497.75,0.012
1.33,-0.04,-9.85,497.76,0.013
0.12,-1.26,-11.14,497.78,0.012
-0.55,0.94,-10.83,497.79,0.014
0.04,-0.04,-10.20,497.80,0.012
0.20,0.16,-10.59,497.82,0.013
0.12,-0.63,-10.98,497.83,0.013
0.20,0.55,-9.61,497.84,0.013
0.16,-0.59,-10.43,497.85,0.012
-0.47,0.24,-10.55,497.87,0.014
0.16,0.63,-10.36,497.88,0.012
0.00,0.71,-9.96,497.89,0.013
-0.35,0.00,-9.41,497.90,0.012
0.04,0.43,-9.53,497.92,0.014
-0.04,0.24,-9.96,497.93,0.012
0.00,0.20,-10.08,497.94,0.013
-0.08,-0.04,-9.65,497.96,0.013
0.20,0.16,-9.92,497.97,0.013
0.27,0.00,-9.96,497.98,0.012
0.00,0.16,-9.77,497.99,0.013
-0.12,0.04,-10.12,498.01,0.013
0.00,0.47,-10.00,498.02,0.012
0.35,0.00,-9.89,498.03,0.013
0.04,0.00,-9.92,498.05,0.013
0.35,0.00,-9.96,498.06,0.013
0.08,0.27,-9.89,498.07,0.012
0.08,-0.04,-9.85,498.08,0.013
0.12,-0.08,-9.89,498.10,0.013
-0.08,0.20,-10.12,498.11,0.012
0.08,0.67,-10.36,498.12,0.014
0.20,0.12,-9.92,498.13,0.012
0.08,0.04,-10.04,498.15,0.013
-0.27,0.00,-10.12,498.16,0.012
-0.04,0.24,-9.81,498.17,0.014
0.16,0.00,-9.92,498.19,0.012
0.16,0.08,-10.00,498.20,0.013
-0.04,0.31,-10.08,498.21,0.013
0.12,0.12,-9.96,498.22,0.013
0.08,0.04,-10.00,498.24,0.012
-0.16,0.35,-10.28,498.25,0.012
0.04,0.20,-9.92,498.26,0.014
0.08,0.20,-10.04,498.27,0.012
-0.16,0.16,-10.04,498.29,0.013
-0.12,0.04,-9.85,498.30,0.013
0.00,0.08,-10.12,498.31,0.013
-0.27,0.00,-10.04,498.32,0.012
0.08,0.04,-10.00,498.34,0.014
-0.04,0.16,-9.89,498.35,0.012
0.27,0.16,-9.96,498.36,0.013
0.24,0.20,-9.77,498.38,0.012
0.04,0.08,-10.00,498.39,0.014
0.12,0.35,-10.28,498.40,0.012
0.00,-0.12,-9.57,498.41,0.013
0.16,-0.08,-9.89,498.43,0.013
0.27,0.00,-9.81,498.44,0.012
-0.24,0.00,-10.28,498.45,0.013
-0.20,0.08,-11.41,498.47,0.013
0.00,0.16,-10.51,498.48,0.013
0.04,0.27,-10.47,498.49,0.012
0.00,0.12,-10.59,498.50,0.013
0.43,0.27,-10.24,498.52,0.013
0.00,0.16,-10.79,498.53,0.013
-0.24,-0.08,-10.40,498.54,0.012
1.02,0.04,-10.20,498.56,0.014
-0.24,0.47,-11.06,498.57,0.012
-0.55,0.71,-11.02,498.58,0.013
-0.20,2.16,-9.92,498.59,0.013
-0.08,-0.31,-11.34,498.61,0.013
-0.20,-1.61,-10.87,498.62,0.012
-0.24,-0.04,-10.40,498.63,0.013
-0.20,-1.02,-10.75,498.64,0.013
0.04,1.61,-10.12,498.66,0.012
0.04,0.78,-10.28,498.67,0.013
-0.55,0.98,-9.77,498.68,0.013
1.22,-0.90,-9.10,498.70,0.013
0.31,-1.18,-9.65,498.71,0.012
0.04,0.16,-9.06,498.72,0.014
-0.39,0.55,-9.85,498.73,0.012
-0.24,0.86,-9.18,498.75,0.012
0.75,-0.39,-9.49,498.76,0.013
-0.12,-0.04,-9.30,498.77,0.013
0.67,0.16,-9.30,498.78,0.013
-0.31,0.24,-9.77,498.80,0.012
0.94,0.00,-8.75,498.81,0.014
-0.04,-0.08,-9.73,498.82,0.012
-0.04,0.24,-9.41,498.83,0.012
-0.43,-0.12,-9.65,498.85,0.014
0.27,0.39,-9.10,498.86,0.012
0.39,0.00,-9.14,498.87,0.013
0.00,0.43,-9.69,498.89,0.012
0.31,0.08,-9.45,498.90,0.014
0.20,0.31,-10.12,498.91,0.012
0.00,0.39,-9.81,498.92,0.012
0.12,-0.04,-9.65,498.94,0.013
0.16,0.24,-9.69,498.95,0.012
0.00,-0.08,-10.43,498.96,0.013
0.24,0.16,-9.89,498.97,0.013
0.12,-0.12,-9.73,498.99,0.013
-0.04,-0.20,-9.57,499.00,0.012
0.12,-0.12,-9.81,499.01,0.013
0.08,0.20,-9.96,499.03,0.013
-0.51,0.12,-10.36,499.04,0.013
0.16,0.08,-10.04,499.05,0.012
0.00,0.16,-9.77,499.06,0.014
0.12,0.00,-10.08,499.08,0.012
-0.04,-0.04,-9.81,499.09,0.012
0.16,0.00,-9.89,499.10,0.013
0.12,0.20,-10.24,499.11,0.012
-0.08,-0.20,-9.81,499.13,0.013
0.20,0.20,-9.73,499.14,0.012
0.00,0.31,-10.16,499.15,0.014
-0.59,-0.08,-9.89,499.16,0.012
0.12,0.04,-9.96,499.18,0.013
0.16,0.00,-9.92,499.19,0.013
0.00,0.31,-10.28,499.20,0.012
-0.04,0.00,-9.92,499.22,0.013
-0.08,0.24,-10.12,499.23,0.013
0.24,0.24,-10.00,499.24,0.013
0.24,0.04,-9.85,499.25,0.012
0.04,0.00,-9.81,499.27,0.013
-0.20,0.08,-10.04,499.28,0.013
0.51,0.43,-10.32,499.29,0.013
0.31,0.08,-10.43,499.30,0.012
0.04,-0.08,-9.96,499.32,0.014
-0.24,0.08,-10.08,499.33,0.012
0.04,-0.04,-9.73,499.34,0.013
0.04,0.16,-9.89,499.36,0.013
0.31,0.16,-10.00,499.37,0.012
-0.04,0.00,-9.85,499.38,0.013
0.00,-0.04,-9.85,499.39,0.012
0.04,0.12,-9.92,499.41,0.014
0.12,-0.08,-10.24,499.42,0.012
-0.39,-0.12,-9.65,499.43,0.013
0.24,0.16,-10.08,499.45,0.013
0.00,0.27,-10.40,499.46,0.013
0.08,0.08,-10.40,499.47,0.012
0.20,0.12,-10.00,499.48,0.014
0.43,0.12,-9.77,499.50,0.012
0.00,-0.24,-9.34,499.51,0.013
0.24,0.20,-9.06,499.52,0.012
-0.12,-0.08,-9.02,499.53,0.013
0.00,0.08,-9.30,499.55,0.013
-0.04,0.04,-9.38,499.56,0.012
-0.12,-0.12,-9.26,499.57,0.014
0.04,0.24,-9.81,499.59,0.012
0.31,-0.08,-9.85,499.60,0.013
-0.08,-0.04,-9.57,499.61,0.012
0.24,-0.12,-9.18,499.62,0.014
0.86,0.16,-8.98,499.64,0.012
-0.51,-0.08,-10.12,499.65,0.012
0.24,-0.24,-9.65,499.66,0.014
-0.31,-0.20,-9.14,499.67,0.012
-0.24,0.20,-9.18,499.69,0.013
0.24,0.04,-9.14,499.70,0.013
0.31,-0.12,-9.38,499.71,0.013
0.04,0.27,-9.34,499.73,0.012
0.20,0.31,-9.61,499.74,0.013
-0.75,-0.04,-9.85,499.75,0.013
0.63,0.35,-9.73,499.76,0.013
-0.43,-0.12,-10.83,499.78,0.012
0.55,0.00,-10.75,499.79,0.014
0.16,0.24,-10.59,499.80,0.012
0.75,-8.12,-11.53,499.82,0.013
1.45,0.51,-10.12,499.83,0.013
0.67,3.18,-7.49,499.84,0.013
-1.65,1.65,-10.43,499.85,0.012
1.49,-0.16,-9.65,499.87,0.013
0.71,-2.90,-9.81,499.88,0.013
0.04,1.37,-11.02,499.89,0.013
-0.59,0.27,-10.51,499.90,0.012
0.63,1.14,-9.26,499.92,0.014
0.78,-0.86,-10.55,499.93,0.012
0.63,1.10,-9.92,499.94,0.013
0.08,0.08,-10.16,499.96,0.013
0.08,-0.04,-10.36,499.97,0.013
0.04,-0.47,-11.02,499.98,0.012
0.08,0.51,-9.85,499.99,0.013
0.35,0.16,-10.20,500.01,0.013
0.04,0.12,-9.85,500.02,0.013
0.27,-0.35,-10.00,500.03,0.012
0.43,0.90,-10.32,500.05,0.014
-0.24,0.12,-10.12,500.06,0.012
-0.04,0.12,-10.16,500.07,0.013
0.39,0.00,-9.81,500.08,0.013
-0.12,0.39,-9.81,500.10,0.013
0.04,-0.08,-9.89,500.11,0.012
0.04,-0.08,-9.85,500.12,0.013
0.31,0.27,-10.08,500.14,0.013
0.00,0.08,-9.89,500.15,0.013
0.35,-0.16,-9.89,500.16,0.012
-0.35,-0.12,-9.73,500.17,0.013
0.08,0.04,-9.85,500.19,0.012
-0.04,0.20,-10.20,500.20,0.012
0.16,0.24,-10.28,500.21,0.014
0.12,0.39,-9.49,500.22,0.012
0.00,0.20,-10.00,500.24,0.013
-0.16,0.16,-9.96,500.25,0.012
0.04,-0.08,-10.04,500.26,0.014
0.00,0.24,-9.92,500.27,0.012
-0.04,0.04,-10.24,500.29,0.013
0.00,-0.24,-9.77,500.30,0.013
0.04,0.20,-10.04,500.31,0.013
